#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"SecurityHealthService","0","396","2203449204736","2408448","4263936","16104",,,"0.03125",,,,,"Process","8",,,,,,"396","3712",".","0","",,,,,"16104","16104","4263936","4263936","201712","201712","4562944","4562944","16089088","16089088","135663616","2203453886464",,,"4263936","4263936","00:00:00.0156250","SecurityHealthService",,"True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:57:31 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","130981888","2203449204736","False",,,,"2408448","2408448",,
"SecurityHealthSystray","1","149","2203442180096","708608","1748992","9104","C:\Windows\System32\SecurityHealthSystray.exe","Microsoft Corporation","0.03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Windows Security notification icon","Microsoft? Windows? Operating System","Process","8",,"False",,"2604","Microsoft.Win32.SafeHandles.SafeProcessHandle","149","8128",".","0","","System.Diagnostics.ProcessModule (SecurityHealthSystray.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9104","9104","1748992","1748992","176688","176688","1912832","1912832","8663040","8663040","127111168","2203445334016","True","Normal","1748992","1748992","00:00:00.0156250","SecurityHealthSystray","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","123957248","2203442180096","False",,,,"708608","708608",,
"services","0","690","2203386146816","5406720","5222400","11760",,,"2.546875",,,,,"Process","9",,,,,,"690","848",".","0","",,,,,"11760","11760","5222400","5222400","162216","162216","7364608","7364608","10641408","10641408","92131328","2203410354176",,,"5222400","5222400","00:00:01.5781250","services",,"True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.5468750","00:00:00.9687500","67923968","2203386146816","False",,,,"5406720","5406720",,
"SgrmBroker","0","85","2203376148480","2990080","2945024","6312",,,"0.078125",,,,,"Process","8",,,,,,"85","4436",".","0","",,,,,"6312","6312","2945024","2945024","33584","33584","4096000","4096000","6500352","6500352","60547072","2203378769920",,,"2945024","2945024","00:00:00.0625000","SgrmBroker",,"True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:57:26 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","57925632","2203376148480","False",,,,"2990080","2990080",,
"ShellExperienceHost","1","779","2203806953472","48353280","25497600","33496","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft Corporation","0.71875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Windows Shell Experience Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2648","Microsoft.Win32.SafeHandles.SafeProcessHandle","779","3232",".","0","","System.Diagnostics.ProcessModule (ShellExperienceHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33496","33496","25497600","25497600","1022176","1022176","26644480","26644480","68993024","68993024","548024320","2203866247168","True","Normal","25497600","25497600","00:00:00.2343750","ShellExperienceHost","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7187500","00:00:00.4843750","488730624","2203806953472","False",,,,"48353280","48353280",,
"sihost","1","534","2203482701824","14356480","5599232","17384","C:\Windows\system32\sihost.exe","Microsoft Corporation","0.390625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Shell Infrastructure Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2524","Microsoft.Win32.SafeHandles.SafeProcessHandle","534","2004",".","0","","System.Diagnostics.ProcessModule (sihost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17384","17384","5599232","5599232","245688","245688","6053888","6053888","25071616","25071616","172204032","2203490426880","True","Normal","5599232","5599232","00:00:00.1875000","sihost","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3906250","00:00:00.2031250","164478976","2203482701824","False",,,,"14356480","14356480",,
"smartscreen","1","389","2238102097920","8990720","8699904","22336","C:\Windows\System32\smartscreen.exe","Microsoft Corporation","0.03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Windows Defender SmartScreen","Microsoft? Windows? Operating System","Process","8",,"False",,"4588","Microsoft.Win32.SafeHandles.SafeProcessHandle","389","1348",".","0","","System.Diagnostics.ProcessModule (smartscreen.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22336","22336","8699904","8699904","228992","228992","9842688","9842688","24141824","24141824","435154944","2238113116160","True","Normal","8699904","8699904","00:00:00.0156250","smartscreen","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","424136704","2238102097920","False",,,,"8990720","8990720",,
"smss","0","53","2203359674368","372736","503808","3224",,,"0.15625",,,,,"Process","11",,,,,,"53","452",".","0","",,,,,"3224","3224","503808","503808","13104","13104","602112","602112","1298432","1298432","63926272","2203382149120",,,"503808","503808","00:00:00.1562500","smss",,"True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00","41451520","2203359674368","False",,,,"372736","372736",,
"spoolsv","0","664","2203462373376","8900608","11673600","25416","C:\Windows\System32\spoolsv.exe","Microsoft Corporation","0.328125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Spooler SubSystem App","Microsoft? Windows? Operating System","Process","8",,"False",,"3192","Microsoft.Win32.SafeHandles.SafeProcessHandle","664","3388",".","0","","System.Diagnostics.ProcessModule (spoolsv.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25416","25416","11673600","11673600","222792","222792","11874304","11874304","24612864","24612864","149393408","2203467616256","True","Normal","11673600","11673600","00:00:00.1718750","spoolsv","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.1562500","144150528","2203462373376","False",,,,"8900608","8900608",,
"svchost","0","85","2203377684480","933888","995328","5160","C:\Windows\system32\svchost.exe","Microsoft Corporation","0","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4200","Microsoft.Win32.SafeHandles.SafeProcessHandle","85","464",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5160","5160","995328","995328","40808","40808","1155072","1155072","4104192","4104192","61034496","2203379257344","True","Normal","995328","995328","00:00:00","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","59461632","2203377684480","False",,,,"933888","933888",,
"svchost","0","947","2203443912704","14196736","8585216","20312","C:\Windows\system32\svchost.exe","Microsoft Corporation","1.390625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3200","Microsoft.Win32.SafeHandles.SafeProcessHandle","947","584",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20312","20312","8585216","8585216","412056","412056","10915840","10915840","25305088","25305088","139157504","2203457380352","True","Normal","8585216","8585216","00:00:01.0781250","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3906250","00:00:00.3125000","125689856","2203443912704","False",,,,"14196736","14196736",,
"svchost","0","1176","2203422887936","9228288","6701056","19328","C:\Windows\system32\svchost.exe","Microsoft Corporation","2.34375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3212","Microsoft.Win32.SafeHandles.SafeProcessHandle","1176","1044",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19328","19328","6701056","6701056","179000","179000","6848512","6848512","14000128","14000128","152461312","2203470684160","True","Normal","6701056","6701056","00:00:00.9531250","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.3437500","00:00:01.3906250","104665088","2203422887936","False",,,,"9228288","9228288",,
"svchost","0","271","2203396259840","3178496","2310144","10520","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.421875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3964","Microsoft.Win32.SafeHandles.SafeProcessHandle","271","1096",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10520","10520","2310144","2310144","121304","121304","2670592","2670592","8351744","8351744","86208512","2203404431360","True","Normal","2310144","2310144","00:00:00.2812500","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.1406250","78036992","2203396259840","False",,,,"3178496","3178496",,
"svchost","0","385","2203456241664","3874816","18079744","16688","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.234375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3568","Microsoft.Win32.SafeHandles.SafeProcessHandle","385","1216",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16688","16688","18079744","18079744","145624","145624","19656704","19656704","31805440","31805440","175501312","2203493724160","True","Normal","18079744","18079744","00:00:00.1562500","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:57:26 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0781250","138018816","2203456241664","False",,,,"3874816","3874816",,
"svchost","0","230","2203403587584","2531328","2478080","12728","C:\Windows\System32\svchost.exe","Microsoft Corporation","0.15625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3188","Microsoft.Win32.SafeHandles.SafeProcessHandle","230","1368",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12728","12728","2478080","2478080","96824","96824","2695168","2695168","10579968","10579968","88510464","2203406733312","True","Normal","2478080","2478080","00:00:00.0781250","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0781250","85364736","2203403587584","False",,,,"2531328","2531328",,
"svchost","0","376","2203441999872","7098368","5980160","18992","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.421875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"1732","Microsoft.Win32.SafeHandles.SafeProcessHandle","376","1388",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18992","18992","5980160","5980160","284792","284792","6471680","6471680","15568896","15568896","133160960","2203451383808","True","Normal","5980160","5980160","00:00:00.2187500","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.2031250","123777024","2203441999872","False",,,,"7098368","7098368",,
"svchost","0","139","2203400888320","1241088","1671168","12264","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.015625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4548","Microsoft.Win32.SafeHandles.SafeProcessHandle","139","1436",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12264","12264","1671168","1671168","80376","80376","1781760","1781760","6250496","6250496","84238336","2203402461184","True","Normal","1671168","1671168","00:00:00.0156250","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","82665472","2203400888320","False",,,,"1241088","1241088",,
"svchost","0","238","2203442327552","1994752","2748416","12912","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4504","Microsoft.Win32.SafeHandles.SafeProcessHandle","238","1476",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12912","12912","2748416","2748416","176400","176400","3579904","3579904","11771904","11771904","129871872","2203448094720","True","Normal","2748416","2748416","00:00:00.1093750","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0156250","124104704","2203442327552","False",,,,"1994752","1994752",,
"svchost","0","206","2207796232192","80007168","83009536","13792","C:\Windows\system32\svchost.exe","Microsoft Corporation","57.859375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3168","Microsoft.Win32.SafeHandles.SafeProcessHandle","206","1668",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13792","13792","83009536","83009536","84928","84928","124260352","124260352","122167296","122167296","205619200","2207818809344","True","Normal","83009536","83009536","00:00:27.6093750","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:57.8593750","00:00:30.2500000","183042048","2207796232192","False",,,,"80007168","80007168",,
"svchost","0","228","2203391565824","1441792","1351680","7464","C:\Windows\System32\svchost.exe","Microsoft Corporation","0.0625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3948","Microsoft.Win32.SafeHandles.SafeProcessHandle","228","1676",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7464","7464","1351680","1351680","68376","68376","1507328","1507328","5898240","5898240","75763712","2203393986560","True","Normal","1351680","1351680","00:00:00.0468750","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","73342976","2203391565824","False",,,,"1441792","1441792",,
"svchost","0","232","2203433279488","13901824","3227648","12832","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.15625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3040","Microsoft.Win32.SafeHandles.SafeProcessHandle","232","1696",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12832","12832","3227648","3227648","158776","158776","3723264","3723264","14536704","14536704","121880576","2203440103424","True","Normal","3227648","3227648","00:00:00.0156250","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:58:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.1406250","115056640","2203433279488","False",,,,"13901824","13901824",,
"svchost","0","238","2203404775424","4710400","2752512","10936","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3068","Microsoft.Win32.SafeHandles.SafeProcessHandle","238","1724",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10936","10936","2752512","2752512","98240","98240","3194880","3194880","10227712","10227712","94425088","2203412647936","True","Normal","2752512","2752512","00:00:00.1093750","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0156250","86552576","2203404775424","False",,,,"4710400","4710400",,
"svchost","0","175","2203405041664","7684096","1949696","13032","C:\Windows\system32\svchost.exe","Microsoft Corporation","0.046875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4668","Microsoft.Win32.SafeHandles.SafeProcessHandle","175","1840",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13032","13032","1949696","1949696","94200","94200","2318336","2318336","8531968","8531968","93634560","2203411857408","True","Normal","1949696","1949696","00:00:00.0156250","svchost","63","True","0","System.Diagnostics.ProcessStartInfo","8/26/2021 10:55:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0312500","86818816","2203405041664","False",,,,"7684096","7684096",,
